UtcDateTime,LaneIndex,Action
10/04/2021 14:07:05,-1,"Miss: 0.105859375, 0.128843338213763"
10/04/2021 14:07:07,2,"open"
10/04/2021 14:07:08,-1,"Miss: 0.0078125, 0.12298682284041"
10/04/2021 14:07:08,-1,"Miss: 0.00751775652170181, 0.123718887262079"
10/04/2021 14:07:08,-1,"Miss: 0.00687113031744957, 0.123718887262079"
10/04/2021 14:07:08,-1,"Miss: 0.00622647404670715, 0.122942722035711"
10/04/2021 14:07:08,-1,"Miss: 0.00625, 0.12298682284041"
10/04/2021 14:07:09,3,"open"
10/04/2021 14:07:12,4,"close"
10/04/2021 14:07:16,1,"close"
10/04/2021 14:07:16,2,"close"
10/04/2021 14:07:16,3,"close"
10/04/2021 14:07:20,-1,"Miss: 0.569921875, 0.772327964860908"
10/04/2021 14:07:20,-1,"Miss: 0.569921875, 0.772327964860908"
10/04/2021 14:07:20,-1,"Miss: 0.573489141464233, 0.76985546017112"
10/04/2021 14:07:20,-1,"Miss: 0.579779052734375, 0.761648957237143"
10/04/2021 14:07:20,-1,"Miss: 0.585650157928467, 0.750904535653825"
10/04/2021 14:07:20,-1,"Miss: 0.582967376708984, 0.729348491260981"
10/04/2021 14:07:20,-1,"Miss: 0.576171875, 0.715959004392386"
10/04/2021 14:07:20,-1,"Miss: 0.576171875, 0.715959004392386"
10/04/2021 14:07:20,-1,"Miss: 0.008203125, 0.473645680819912"
10/04/2021 14:07:20,-1,"Miss: 0.008203125, 0.474637211678143"
10/04/2021 14:07:20,-1,"Miss: 0.00743289813399315, 0.47582123115506"
10/04/2021 14:07:20,-1,"Miss: 0.00592922866344452, 0.477018342360221"
10/04/2021 14:07:20,-1,"Miss: 0.00449508987367153, 0.477306002928258"
10/04/2021 14:07:20,-1,"Miss: 0.00357232466340065, 0.475322315668466"
10/04/2021 14:07:20,-1,"Miss: 0.003515625, 0.471449487554905"
10/04/2021 14:07:20,-1,"Miss: 0.003515625, 0.471449487554905"
10/04/2021 14:07:20,-1,"Miss: 0.074609375, 0.430453879941435"
10/04/2021 14:07:20,-1,"Miss: 0.074609375, 0.432006165712505"
10/04/2021 14:07:20,-1,"Miss: 0.074609375, 0.435604871802937"
10/04/2021 14:07:20,-1,"Miss: 0.074067485332489, 0.442403678838191"
10/04/2021 14:07:20,-1,"Miss: 0.073431932926178, 0.452499277944272"
10/04/2021 14:07:20,-1,"Miss: 0.0736885786056519, 0.463709863352741"
10/04/2021 14:07:20,-1,"Miss: 0.074326092004776, 0.474724162200883"
10/04/2021 14:07:20,-1,"Miss: 0.07421875, 0.472913616398243"
10/04/2021 14:07:34,1,"cause=Compaction"
10/04/2021 14:07:34,2,"cause=Compaction"
10/04/2021 14:07:34,3,"cause=Compaction"
10/04/2021 14:07:34,4,"cause=Compaction"
10/04/2021 14:07:34,5,"cause=Compaction"
10/04/2021 14:07:34,6,"cause=Compaction"
10/04/2021 14:07:38,-1,"Miss: 0.04375, 0.449487554904832"
10/04/2021 14:07:38,-1,"Miss: 0.043134468793869, 0.45064110148529"
10/04/2021 14:07:38,-1,"Miss: 0.042489618062973, 0.451849606515373"
10/04/2021 14:07:38,-1,"Miss: 0.0415043622255325, 0.453055922143805"
10/04/2021 14:07:38,-1,"Miss: 0.0422196924686432, 0.454261076048911"
10/04/2021 14:07:38,-1,"Miss: 0.0479737162590027, 0.455464710777361"
10/04/2021 14:07:38,-1,"Miss: 0.047265625, 0.455344070278185"
10/04/2021 14:07:39,-1,"Miss: 0.0625, 0.483162518301611"
10/04/2021 14:07:39,-1,"Miss: 0.062109375, 0.48389458272328"
10/04/2021 14:07:39,-1,"Miss: 0.0614644110202789, 0.485103311161695"
10/04/2021 14:07:39,-1,"Miss: 0.0608265101909637, 0.4862987691452"
10/04/2021 14:07:39,-1,"Miss: 0.0609375, 0.486090775988287"
10/04/2021 14:07:42,-1,"Miss: 0.90546875, 0.537335285505124"
10/04/2021 14:07:42,-1,"Miss: 0.904839897155762, 0.537335285505124"
10/04/2021 14:07:42,-1,"Miss: 0.904210376739502, 0.537335285505124"
10/04/2021 14:07:42,-1,"Miss: 0.904210376739502, 0.537335285505124"
10/04/2021 14:07:42,-1,"Miss: 0.90390625, 0.537335285505124"
10/04/2021 14:07:42,-1,"Miss: 0.90390625, 0.537335285505124"
10/04/2021 14:07:43,-1,"Miss: 0.987890625, 0.506588579795022"
10/04/2021 14:07:43,-1,"Miss: 0.987448692321777, 0.506588579795022"
